object_id,display_name,portfolio_role,object_class,taxonomy_for_test_mapping,pha_state,diameter_km,bulk_density_kg_m3,evidence_state,lab_suite,claim_boundary,source
AST-EROS,433 Eros,canonical_anchor,Amor NEA,S-complex,No,,,98/100 evidence maturity in canonical register,S-suite,baseline/control only; no preferred-target inference,https://docs.google.com/spreadsheets/d/1Uy04F5gtf2mXf9tDmAyIvNrsCn1kn4Csa2oc-skSZxY/edit
AST-ANTEROS,1943 Anteros,canonical_anchor,Amor NEA,unknown,No,,,shape unresolved; public object,broad unresolved suite,uncertainty envelope is not a surface,https://docs.google.com/spreadsheets/d/1Uy04F5gtf2mXf9tDmAyIvNrsCn1kn4Csa2oc-skSZxY/edit
AST-CASTALIA,4769 Castalia,canonical_anchor,Apollo NEA,unknown,No,,,radar double-lobed mesh,broad geometry suite,shape does not establish internal structure,https://docs.google.com/spreadsheets/d/1Uy04F5gtf2mXf9tDmAyIvNrsCn1kn4Csa2oc-skSZxY/edit
AST-APOPHIS,99942 Apophis,strategic_tag_support,Aten PHA,S,Yes,0.34,,strategic/timing critical; not mine-first,S-suite,"no target preference, ownership or mining priority",https://docs.google.com/spreadsheets/d/1Uy04F5gtf2mXf9tDmAyIvNrsCn1kn4Csa2oc-skSZxY/edit
AST-TOUTATIS,4179 Toutatis,dynamics_stress_anchor,Apollo PHA,Sk,Yes,5.4,,NPA rotation and radar models,S-suite,preserve tumbling state,https://docs.google.com/spreadsheets/d/1Uy04F5gtf2mXf9tDmAyIvNrsCn1kn4Csa2oc-skSZxY/edit
AST-APOLLO,1862 Apollo / Apl,binary_negative_control,Apollo NEA,Q,No,1.5,,binary confirmed; system geometry incomplete,S-suite,binary detection is not full system geometry,https://docs.google.com/spreadsheets/d/1Uy04F5gtf2mXf9tDmAyIvNrsCn1kn4Csa2oc-skSZxY/edit
AST-LIKHO,Likho,neighbour_candidate,Amor NEA,S unverified,No,,,source/windows complete; physical/taxonomy gaps,S-suite held,orbital analogue only,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit
AST-NINKASI,Ninkasi,shared_neighbour_candidate,Amor NEA,Sq (Bus),No,,,taxonomy resolved; physical gaps,S-suite,shared edge; no range-order selection,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit
AST-POCAHONTAS,Pocahontas,neighbour_candidate,Amor NEA,S uncorroborated,No,1.196,,workbook physical value uncorroborated,S-suite held,obtain corroborating physical source,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit
AST-DUENDE,Duende,neighbour_candidate,Aten NEA,L uncorroborated,No,,,source/windows complete; gaps,broad unresolved suite,strategic edge only,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit
AST-AGNI,Agni,neighbour_candidate,Aten PHA,S uncorroborated,Yes,0.462,,diameter/PHA source-backed; density/taxonomy gaps,S-suite held,PHA review remains,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit
AST-KAMO,Kamo'oalewa,cross_class_neighbour,Apollo NEA,unknown,No,,,source/windows complete; physical/taxonomy gaps,broad unresolved suite,analogue edge only,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit
AST-VISHNU,Vishnu,neighbour_candidate,Apollo PHA,O (Bus),Yes,0.42,,taxonomy/PHA/diameter resolved; density gap,S-suite,no selection from range order,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit
AST-CERBERUS,Cerberus,neighbour_candidate,Apollo NEA,S (Bus/Tholen),No,1.2,,taxonomy/diameter resolved; density gap,S-suite,density enrichment required,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit
AST-MINOS,Minos,neighbour_candidate,Apollo PHA,S uncorroborated,Yes,0.474,,PHA corrected; workbook physical uncorroborated,S-suite held,physical corroboration required,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit
AST-GOLEVKA,Golevka,neighbour_candidate,Apollo PHA,Q (Bus),Yes,0.53,2700,physical/taxonomy resolved; anchor hold,S-suite,Toutatis anchor hold independent,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit
AST-LUGH,Lugh,neighbour_candidate,Apollo PHA,unknown,Yes,1.4,,PHA/diameter sourced; density/taxonomy gaps,broad unresolved suite,provisional only,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit
AST-MITHRA,Mithra,neighbour_candidate,Apollo PHA,S uncorroborated,Yes,1.849,,diameter/PHA sourced; taxonomy/density gaps,S-suite held,anchor hold retained,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit
AST-VINCIGUERRA,Vinciguerra,neighbour_candidate,Amor NEA,X unverified,No,,,physical/spectral fields absent,X-ambiguity suite,no metallic promotion,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit
AST-PAN,Pan,neighbour_candidate,Apollo PHA,S unverified,Yes,,,PHA corrected; physical gaps,S-suite held,Apollo/Apl anchor hold,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit
AST-PTAH,Ptah,neighbour_candidate,Apollo PHA,S unverified,Yes,,,PHA corrected; physical gaps,S-suite held,Apollo/Apl anchor hold,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit
AST-TORO,Toro,neighbour_candidate,Apollo NEA,S (Bus/Tholen),No,3.4,,classification/diameter/albedo resolved,S-suite,Apollo/Apl anchor hold,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit
INT-1986-DA1,1986 DA1,internal_primary,unresolved,unknown,Unknown,,,identity unresolved,identity only,internal acquisition is not legal ownership or external identity,https://docs.google.com/spreadsheets/d/1Uy04F5gtf2mXf9tDmAyIvNrsCn1kn4Csa2oc-skSZxY/edit
INT-1980-RE3,1980 RE3,internal_secondary,unresolved,unknown,Unknown,,,identity unresolved,identity only,no similarity substitution,https://docs.google.com/spreadsheets/d/1Uy04F5gtf2mXf9tDmAyIvNrsCn1kn4Csa2oc-skSZxY/edit
INT-2016-QH55,2016 QH55,internal_reserve,unresolved,unknown,Unknown,,,identity unresolved,identity only,no invented neighbours,https://docs.google.com/spreadsheets/d/1Uy04F5gtf2mXf9tDmAyIvNrsCn1kn4Csa2oc-skSZxY/edit
INT-1992-PT1,(100076) 1992 PT1,internal_governance_hold,main belt,unknown,No,,,resolved classification conflict,identity only,accessibility/ownership/mineability not established,https://docs.google.com/spreadsheets/d/1Uy04F5gtf2mXf9tDmAyIvNrsCn1kn4Csa2oc-skSZxY/edit
REF-BENNU,101955 Bennu,science_calibrator,Apollo NEA,B/C carbonaceous,Yes,,,sample return,C-suite,calibration archetype only,https://www.nasa.gov/news-release/nasas-asteroid-bennu-sample-reveals-mix-of-lifes-ingredients/
REF-RYUGU,162173 Ryugu,science_calibrator,Apollo NEA,C-type,No,,,sample return,C-suite,calibration archetype only,https://science.nasa.gov/mission/hayabusa-2/
REF-PSYCHE,16 Psyche,science_calibrator,main belt,metal-silicate,No,280,,30-60% metal by volume estimate,M/X-suite,not a pure-metal or ore-grade claim,https://science.nasa.gov/solar-system/asteroids/16-psyche/
REF-ITOKAWA,25143 Itokawa,science_calibrator,Apollo NEA,S-type,Yes,,,sample-return S-type reference,S-suite,reference only,https://science.nasa.gov/solar-system/asteroids/facts/
REF-VESTA,4 Vesta,science_calibrator,main belt,V/basaltic,No,,,differentiated basaltic archetype,V-suite,reference only,https://science.nasa.gov/solar-system/asteroids/facts/
REF-CERES,1 Ceres,science_calibrator,main belt dwarf planet,C/hydrated,No,,,hydrated/volatile-rich context,C-suite,not an operating target,https://science.nasa.gov/solar-system/asteroids/facts/
REF-DIMORPHOS,Dimorphos,debris_hazard_calibrator,binary moonlet,S-like context,No,,,interaction-generated ejecta analogue,debris controls,hazard analogue only,https://docs.google.com/spreadsheets/d/1Uy04F5gtf2mXf9tDmAyIvNrsCn1kn4Csa2oc-skSZxY/edit
