source_id,title,source_type,location,contribution,canonical_role,access_mode
COR-001,Project Overview,local_pdf,C:/Users/acc/Desktop/2025 Documents/Romer Ind/Project Overview.pdf,"Project-specific RFS/EMFF definitions, original Au/Nd/Fe/C sample matrix, method and Mark 1P concept",primary_project_source,read_only
COR-002,Romer Industries Quick Overview,local_image,C:/Users/acc/Desktop/2026 Documents/Notebook/NoteBookLM/Romer Ind. Quick Overview.png,"Portfolio crosswalk: Raphael, ACHILLES, Mark, Luke, Project MD, Eco-X and governance",portfolio_context,read_only
COR-003,RFS & EMFF Digital Twin Test Sandbox v0.1,drive_xlsx,https://drive.google.com/file/d/1YDs4fjNZgzDAB1LJcf7xT9N-bywD4Qgf,"Control spine, design variables, architecture, test matrix, sensor schema and claim gates",canonical_twin_input,read_only
COR-004,Type1 Asteroid Operating Workbook,google_sheet,https://docs.google.com/spreadsheets/d/1Uy04F5gtf2mXf9tDmAyIvNrsCn1kn4Csa2oc-skSZxY/edit,"Operations, capacity, mission scenarios, evidence register, neighbourhood/debris and Cognigrex handoff",canonical_operations,read_only
COR-005,Asteroid Strategic Mapping Base with Rocks,google_sheet,https://docs.google.com/spreadsheets/d/148UObDgK_YsqHDbIkJo89yDvyDcgySTE4wQMEVGwga8/edit,"200k-object data engine, asteroid master, cluster source/capture/review and neighbour matrix",canonical_asteroid_database,read_only
COR-006,Romer EMASSC LinkDrive DataIndex,google_sheet,https://docs.google.com/spreadsheets/d/1VqclM3KypKoa_e8BbMPDeDVb6eVh5pX7UbDzOCL6fnE/edit,"Systematic RFS/EMFF, evidence/governance, source packs and canonical queue surfaces",canonical_index,read_only
COR-007,Cognigrex Canonical XLSX Corpus Atlas v0.1,drive_xlsx,https://drive.google.com/file/d/1Qe5aXxx-1RnbmjOjtW0LzRXaxG2kYmZb,"Reference atlas; 200,000 raw asteroid rows and source/evidence boundaries",reference_atlas,read_only
COR-008,ACHILLES Digital Twin Suite Master Index v0.1,drive_xlsx,https://drive.google.com/file/d/1o0tn0y4npmUPobVjuzsBPyXANK_6_Ryv,Twelve-twin dependency map and suite guardrails,twin_dependency_index,read_only
COR-009,LightSpeed repository,github_repo,https://github.com/achillesromer-coder/LightSpeed,"Mission sequencing, capacity guardrail, asteroid operations scaffold and RFS/EMFF research package",implementation_memory,read_only
COR-010,NIST elemental density table,web_primary,https://physics.nist.gov/PhysRefData/XrayMassCoef/tab1.html,Elemental density basis; nominal values remain sample- and phase-sensitive,external_reference,read_only
COR-011,NASA asteroid facts,web_primary,https://science.nasa.gov/solar-system/asteroids/facts/,Broad C/S/M composition classes and their limits,external_reference,read_only
COR-012,NASA Psyche,web_primary,https://science.nasa.gov/solar-system/asteroids/16-psyche/,Metal-silicate calibration archetype; 30-60 percent metal by volume estimate,external_reference,read_only
COR-013,NASA Bennu sample findings,web_primary,https://www.nasa.gov/news-release/nasas-asteroid-bennu-sample-reveals-mix-of-lifes-ingredients/,Carbonaceous sample-return calibration and evaporite/salt phases,external_reference,read_only
COR-014,NASA Bennu nanoscale mineralogy,web_primary,https://ntrs.nasa.gov/citations/20240000084,"Hydrated silicates, sulfides, magnetite, phosphates and organics",external_reference,read_only
COR-015,NASA/JAXA Hayabusa2 overview,web_primary,https://science.nasa.gov/mission/hayabusa-2/,Ryugu sample-return reference and cross-calibration context,external_reference,read_only
COR-016,USGS 2025 critical minerals,web_primary,https://www.usgs.gov/media/images/2025-list-critical-minerals,Economic/strategic test-target classification; not an asteroid abundance claim,external_reference,read_only
