medium_id,medium_name,base_volume_m3,bulk_density_low_kg_m3,bulk_density_base_kg_m3,bulk_density_high_kg_m3,porosity_base,moisture_low_fraction,moisture_high_fraction,purpose
MED-GRV,Gravel dust,0.001,1400,1600,1800,0.4,0,0.03,Original Au sample medium; broad particle-size screen
MED-SND,Dry silica sand,0.001,1450,1650,1750,0.38,0,0.01,Original Nd/Fe sample medium and negative matrix
MED-CLY,Moist clay sphere,0.001,1650,1800,2000,0.3,0.02,0.2,Original permeability/moisture limitation medium
MED-BCL,Baked clay ball,0.001,1800,1900,2100,0.25,0,0.03,Original baked-clay alloy/purity range medium
MED-BAS,Basaltic regolith simulant,0.001,1400,1700,2100,0.45,0,0.05,V/S-type and differentiated-rock matrix screen
MED-CAR,Carbonaceous regolith simulant,0.001,900,1300,1650,0.55,0,0.12,Bennu/Ryugu phase-mix hypothesis screen
MED-MET,Metal-rich regolith simulant,0.001,1800,2300,3200,0.48,0,0.03,Psyche/M/X metal-silicate calibration mixture
MED-ANT,Anthropic mixed regolith,0.001,1200,1500,2000,0.45,0,0.12,Original most-probable/mixed training and SOP medium
MED-GLS,Glass bead control bed,0.001,1400,1550,1750,0.38,0,0.01,"Instrument, geometry and false-positive control"
MED-ICY,Icy volatile regolith simulant,0.001,650,900,1250,0.55,0,0.25,Thermal/vacuum digital-only screen until qualified facility exists
