grid_id,material_id,medium_id,base_volume_m3,bulk_density_base_kg_m3,target_mass_fraction,target_mass_kg,matrix_mass_kg,property_evidence_state,run_gate
BMG-00001,MAT-AU,MED-GRV,0.001,1600,0.001,0.0016,1.5984,project_target_plus_reference_density,sample certificate and assay required
BMG-00002,MAT-AU,MED-GRV,0.001,1600,0.005,0.008,1.592,project_target_plus_reference_density,sample certificate and assay required
BMG-00003,MAT-AU,MED-GRV,0.001,1600,0.01,0.016,1.584,project_target_plus_reference_density,sample certificate and assay required
BMG-00004,MAT-AU,MED-GRV,0.001,1600,0.05,0.08,1.52,project_target_plus_reference_density,sample certificate and assay required
BMG-00005,MAT-AU,MED-GRV,0.001,1600,0.1,0.16,1.44,project_target_plus_reference_density,sample certificate and assay required
BMG-00006,MAT-AU,MED-GRV,0.001,1600,0.25,0.4,1.2,project_target_plus_reference_density,sample certificate and assay required
BMG-00007,MAT-AU,MED-GRV,0.001,1600,0.5,0.8,0.8,project_target_plus_reference_density,sample certificate and assay required
BMG-00008,MAT-AU,MED-SND,0.001,1650,0.001,0.00165,1.64835,project_target_plus_reference_density,sample certificate and assay required
BMG-00009,MAT-AU,MED-SND,0.001,1650,0.005,0.00825,1.64175,project_target_plus_reference_density,sample certificate and assay required
BMG-00010,MAT-AU,MED-SND,0.001,1650,0.01,0.0165,1.6335,project_target_plus_reference_density,sample certificate and assay required
BMG-00011,MAT-AU,MED-SND,0.001,1650,0.05,0.0825,1.5675,project_target_plus_reference_density,sample certificate and assay required
BMG-00012,MAT-AU,MED-SND,0.001,1650,0.1,0.165,1.485,project_target_plus_reference_density,sample certificate and assay required
BMG-00013,MAT-AU,MED-SND,0.001,1650,0.25,0.4125,1.2375,project_target_plus_reference_density,sample certificate and assay required
BMG-00014,MAT-AU,MED-SND,0.001,1650,0.5,0.825,0.825,project_target_plus_reference_density,sample certificate and assay required
BMG-00015,MAT-AU,MED-CLY,0.001,1800,0.001,0.0018,1.7982,project_target_plus_reference_density,sample certificate and assay required
BMG-00016,MAT-AU,MED-CLY,0.001,1800,0.005,0.009,1.791,project_target_plus_reference_density,sample certificate and assay required
BMG-00017,MAT-AU,MED-CLY,0.001,1800,0.01,0.018,1.782,project_target_plus_reference_density,sample certificate and assay required
BMG-00018,MAT-AU,MED-CLY,0.001,1800,0.05,0.09,1.71,project_target_plus_reference_density,sample certificate and assay required
BMG-00019,MAT-AU,MED-CLY,0.001,1800,0.1,0.18,1.62,project_target_plus_reference_density,sample certificate and assay required
BMG-00020,MAT-AU,MED-CLY,0.001,1800,0.25,0.45,1.35,project_target_plus_reference_density,sample certificate and assay required
BMG-00021,MAT-AU,MED-CLY,0.001,1800,0.5,0.9,0.9,project_target_plus_reference_density,sample certificate and assay required
BMG-00022,MAT-AU,MED-BCL,0.001,1900,0.001,0.0019,1.8981,project_target_plus_reference_density,sample certificate and assay required
BMG-00023,MAT-AU,MED-BCL,0.001,1900,0.005,0.0095,1.8905,project_target_plus_reference_density,sample certificate and assay required
BMG-00024,MAT-AU,MED-BCL,0.001,1900,0.01,0.019,1.881,project_target_plus_reference_density,sample certificate and assay required
BMG-00025,MAT-AU,MED-BCL,0.001,1900,0.05,0.095,1.805,project_target_plus_reference_density,sample certificate and assay required
BMG-00026,MAT-AU,MED-BCL,0.001,1900,0.1,0.19,1.71,project_target_plus_reference_density,sample certificate and assay required
BMG-00027,MAT-AU,MED-BCL,0.001,1900,0.25,0.475,1.425,project_target_plus_reference_density,sample certificate and assay required
BMG-00028,MAT-AU,MED-BCL,0.001,1900,0.5,0.95,0.95,project_target_plus_reference_density,sample certificate and assay required
BMG-00029,MAT-AU,MED-BAS,0.001,1700,0.001,0.0017,1.6983,project_target_plus_reference_density,sample certificate and assay required
BMG-00030,MAT-AU,MED-BAS,0.001,1700,0.005,0.0085,1.6915,project_target_plus_reference_density,sample certificate and assay required
BMG-00031,MAT-AU,MED-BAS,0.001,1700,0.01,0.017,1.683,project_target_plus_reference_density,sample certificate and assay required
BMG-00032,MAT-AU,MED-BAS,0.001,1700,0.05,0.085,1.615,project_target_plus_reference_density,sample certificate and assay required
BMG-00033,MAT-AU,MED-BAS,0.001,1700,0.1,0.17,1.53,project_target_plus_reference_density,sample certificate and assay required
BMG-00034,MAT-AU,MED-BAS,0.001,1700,0.25,0.425,1.275,project_target_plus_reference_density,sample certificate and assay required
BMG-00035,MAT-AU,MED-BAS,0.001,1700,0.5,0.85,0.85,project_target_plus_reference_density,sample certificate and assay required
BMG-00036,MAT-AU,MED-CAR,0.001,1300,0.001,0.0013,1.2987,project_target_plus_reference_density,sample certificate and assay required
BMG-00037,MAT-AU,MED-CAR,0.001,1300,0.005,0.0065,1.2935,project_target_plus_reference_density,sample certificate and assay required
